# ae_name=Lauren Tabler
Account Name,Account Intent Score,6sense Account Intent Score,Compliance Frameworks,Competitive Tech,SDR Source,Count of Open Security Job Postings,Headcount of Security jobs,Last Activity,B2B or B2C,Parent Account,LinkedIn Company URL,Sells AI Product,Employees,Cloud Providers,Ticketing Systems,AI Reasoning for B2B B2C,Industry,Account ICP Tier
Upland Software,40,58,"SSAE 118, ISAE 3402, ISO 27001:2013, GDPR, Cloud Security Alliance (CSA), CCPA, FISMA, FERPA, SSAE 16 SOC 1 Type II, SSAE 16 SOC 2 Type II, GDPR (again), HIPAA, Privacy Shield , SOC 2, PCI DSS Level 1",OneTrust,Manet Yazidi,9,,5/8/2026,B2B,,https://www.linkedin.com/company/upland-software,TRUE,998,"Google Cloud,Cloudflare Hosting,AWS Global Accelerator,Amazon,Oracle Cloud,Microsoft Azure,ViaWest,Liquid Web,Media Temple,WP Engine,Cloudflare Network Error Logging,Sucuri Hosting,Amazon Virginia Region,Zoho Hosting,Amazon Ohio Region,Comcast,Amazon Oregon Region,GoDaddy,Akamai Hosted,Automattic,Amazon California Region","Zendesk, FreshService, Microsoft, Salesforce, Zoho","The description emphasizes providing enterprise cloud software products to global businesses, indicating that Upland Software primarily targets other companies rather than individual consumers.",B2B Technology,Tier 1
Kingland Systems,24,58,"SOC 2, ISO 27001, ISO 27701, ISO 27017, ISO 27018, CMMI Level 5",OneTrust,Manet Yazidi,1,,5/1/2026,B2B,,https://www.linkedin.com/company/kingland,TRUE,429,"Amazon,Cloudflare Hosting,GoGrid,CenturyLink,WiredTree,Akamai Hosted,Staminus Communications,Digital Ocean,Cloudflare Network Error Logging,Liquid Web,Amazon Virginia Region","HubSpot, Zendesk","The company develops enterprise software targeting large organizations and serves clients that include global businesses and major firms, indicating a focus on selling to other businesses rather than consumers.",B2B Technology,Tier 1
DataBank,24,58,"FedRAMP, FISMA, CMMC, ISO 27001, SSAE 18 ? SOC 1, SOC 2, SOC 3, NIST, ITAR, HIPAA, PCI-DSS, GDPR, Data Privacy Framework",,Manet Yazidi,39,,5/8/2026,B2B,,https://www.linkedin.com/company/databank,,830,"Edgewebhosting.net,Cloudflare Hosting,Google Cloud,Amazon,AWS Global Accelerator,Media Temple,Automattic,Cloudflare Network Error Logging,LightBound,Level 3 Communications,Amazon Virginia Region,Arsalon Technologies,DataBank,Latisys","HubSpot, Zoho Desk, Zendesk, ServiceNow","DataBank specializes in providing enterprise-class data center and cloud services primarily to other businesses, focusing on customized technology solutions for managing risk and improving performance.",B2B Technology,Tier 1
Sphera,25,58,"CSRD, CSDDD, SEC climate disclosure rules, California SB 253, California SB 261",,Manet Yazidi,39,,5/8/2026,B2B,"Blackstone Group, Inc.",https://www.linkedin.com/company/sphera,,1450,"Google Cloud,Cloudflare Hosting,AWS Global Accelerator,Amazon,WP Engine,Cloudflare Network Error Logging,Amazon Virginia Region","Zendesk, ServiceNow","Sphera focuses on providing software, data, and consulting services to businesses, indicating that they primarily serve other companies rather than individual consumers.",B2B Technology,Tier 1
Cart.com,21,57,,OneTrust,Manet Yazidi,16,,5/3/2026,Both,,https://www.linkedin.com/company/cartdotcom,TRUE,855,"Cogeco Peer 1,Amazon,AWS Global Accelerator,Cloudflare Hosting,Google Cloud,Internap,Microsoft Azure,GoDaddy,Amazon Virginia Region,Amazon Oregon Region,Webflow Hosting,Cloudflare Network Error Logging,LightBound,Amazon California Region","Zendesk, ServiceNow","The company provides solutions for both B2B and B2C companies, indicating it serves both markets.",B2B Technology,Tier 1
Envoy Global,25,56,"EU-U.S. privacy framework, SOC 2 Type II certification, ISO 27001:2022 certification",OneTrust,Manet Yazidi,5,,5/7/2026,B2B,,https://www.linkedin.com/company/envoyglobal,FALSE,404,"Microsoft Azure,Google Cloud,Cloudflare Hosting,Amazon,Oracle Cloud,Verizon,WP Engine,Edgio,Amazon California Region,Cloudflare Network Error Logging,Amazon Virginia Region,Digital Ocean,Zoho Hosting","Zendesk, Freshservice, Help Scout, ServiceNow, Jira Service Management","Envoy Global provides immigration services and management platforms solely for companies to hire and manage their international workforce, which indicates a focus on business clients rather than individual consumers.",B2B Technology,Tier 1
ECI Software Solutions,29,55,"SOC 2, GDPR, CCPA, CMMC, NIST SP 800-171, ITAR, ISO 9001, AS9100",,Manet Yazidi,17,,5/8/2026,B2B,,https://www.linkedin.com/company/eci-software--solutions,TRUE,1100,No Matches,,"The company provides business management software and services specifically tailored for other businesses across various industries, which indicates it operates primarily in the B2B space.",B2B Technology,Tier 1
Auctane,32,54,,OneTrust,,54,,5/4/2026,B2B,Thoma Bravo,https://www.linkedin.com/company/auctane,FALSE,1082,"Amazon,Google Cloud,Cloudflare Hosting,AWS Global Accelerator,Amazon Virginia Region,GoDaddy,WP Engine,Amazon Oregon Region,Webflow Hosting","Zendesk, ServiceNow","Auctane provides software solutions specifically designed to assist merchants, indicating a focus on serving other businesses rather than individual consumers.",B2B Technology,Tier 1
Veradigm,20,45,"SOC 2, EHNAC, EPCS, ISO 9001:2015",,Manet Yazidi,11,,5/8/2026,Both,,https://www.linkedin.com/company/veradigm,TRUE,1741,"Amazon,BlackMesh,Amazon Virginia Region","Zendesk, ServiceNow","Veradigm operates both B2B and B2C as it provides services and solutions to healthcare stakeholders like biopharma and health plans (B2B), while also focusing on improving patient lives and healthcare delivery (B2C).",B2B Technology,Tier 1
Schoox,15,42,"SOC 2, ISO 27001, GDPR, CPRA, Privacy Shield Frameworks, EU-SCC",no competitor tech found,Manet Yazidi,1,,5/8/2026,B2B,,https://www.linkedin.com/company/schoox,TRUE,418,"Amazon,Cloudflare Hosting,Google Cloud,Netlify,Hivelocity Hosting,Amazon Virginia Region,WP Engine,Digital Ocean,Amazon California Region,Cloudflare Network Error Logging,Webflow Hosting,Amazon Oregon Region,Black Lotus","Zendesk, Intercom, HubSpot","Schoox provides workplace learning software primarily aimed at organizations to enhance employee training and development, indicating a B2B operation.",B2B Technology,Tier 1
CoreFlex Solutions,8,0,,no competitor tech found,Manet Yazidi,1,,4/16/2026,B2B,,https://www.linkedin.com/company/coreflexsolutionsinc,TRUE,650,"GoGrid,Microsoft Azure,Cloudflare Hosting,DataPipe,WP Engine",,"The company primarily provides innovative solutions and services to other businesses, focusing on digital transformation and managed services, indicating a B2B model.",B2B Technology,Tier 1
Kastech,8,0,"GDPR, ESIGN, eIDAS",,Manet Yazidi,5,,4/24/2026,B2B,,https://www.linkedin.com/company/kastech-software-solutions-group,TRUE,474,"Cloudflare Hosting,Amazon,Google Cloud,BlueHost,Unified Layer,Zoho Hosting,Amazon Virginia Region",,"Kastech Software Solutions Group provides software services primarily designed for other businesses (such as ERP solutions) and has a strong client base involving major corporations, indicating a B2B operations model.",B2B Technology,Tier 1
Tecsys,12,0,"SOC 2, PCI DSS, DSCSA, GDPR, HIPAA",,Manet Yazidi,10,,4/30/2026,B2B,Tecsys Inc.,https://www.linkedin.com/company/tecsys-inc,TRUE,765,"IX Web Hosting,Cogeco Peer 1,Microsoft Azure,Google Cloud,Cloudflare Hosting,Akamai Hosted,Sprint","Zendesk, ServiceNow","Tecsys focuses on providing supply chain solutions to organizations, indicating that their primary customers are businesses rather than individual consumers.",B2B Technology,Tier 1
Arbisoft,8,0,,,Manet Yazidi,4,,5/3/2026,B2B,,https://www.linkedin.com/company/arbisoft,TRUE,1071,"Amazon,Cloudflare Hosting,Microsoft Azure,Hivelocity Hosting,Linode,Amazon Virginia Region,NetActuate,ATT,Amazon California Region","Zendesk, ServiceNow","Arbisoft primarily operates as a custom software development company that serves other businesses, indicating a B2B model.",B2B Technology,Tier 1
Adit,8,0,HIPAA,,Manet Yazidi,1,,4/30/2026,B2B,,https://www.linkedin.com/company/dental-software,TRUE,517,"Cloudflare Hosting,Amazon,Google Cloud,Oracle Cloud,GoDaddy,Digital Ocean,Cloudflare Network Error Logging,Amazon Virginia Region,Unified Layer,Amazon California Region,Zoho Hosting,Fastly Hosted,Fastly Load Balancer","Zendesk, ServiceNow","The company provides software solutions aimed at practices, indicating it sells to other businesses (B2B) rather than directly to consumers (B2C).",B2B Technology,Tier 1
Acoustic,29,67,"ISO 27001, SOC2, CCPA, CDPA, CPA, GDPR",,Manet Yazidi,33,,5/8/2026,B2B,,https://www.linkedin.com/company/goacoustic,FALSE,539,Vercel,"OSTicket, Trudesk","The company provides marketing solutions specifically aimed at brands and marketers, indicating its primary focus on business clients rather than direct consumer sales.",B2B Technology,Tier 2
Arvig,23,61,,,Manet Yazidi,4,7,5/7/2026,Both,,https://www.linkedin.com/company/arvig,,489,"SingleHop,Google Cloud,Hivelocity Hosting,Cloudflare Hosting,Amazon,Heroku,AWS Global Accelerator,Vultr,Savvis,CenturyLink,Akamai Hosted,Salesforce Hosted,Fastly Hosted,Fastly Load Balancer,Amazon Virginia Region,Choopa,Constant Hosting","Zendesk, ManageEngine ServiceDesk Plus, Spiceworks Cloud Help Desk, Zoho Desk, Freshdesk, HaloITSM, HappyFox, Vivantio, Freshservice, InvGate Service Desk, Jira Service Management","Arvig provides telecommunications services to both homes (B2C) and businesses (B2B), indicating that it operates in both markets.",B2B Technology,Tier 2
Minnesota Twins,16,59,,,Manet Yazidi,4,,5/3/2026,B2C,,,,959,"Google Cloud,Microsoft Azure","Zendesk, Freshdesk, Zoho Desk, HappyFox, Jira Service Management, Freshservice, Spiceworks, InvGate, Gorgias, SysAid, LiveAgent, Hiver, ServiceDesk Plus","The Minnesota Twins primarily engage with individual consumers (fans) for ticket sales, merchandise, and entertainment services, indicating a B2C model.",B2B Technology,Tier 2
Fellowes,16,54,"BIFMA, UL, CE, WELL Certification, Privacy Shield Framework",,Manet Yazidi,7,,5/3/2026,,,,TRUE,897,"Oracle Cloud,Amazon,Cloudflare Hosting,Microsoft Azure,AWS Global Accelerator,Comcast,ATT,GoDaddy,Automattic,Akamai Hosted,Amazon Virginia Region,Confluence Networks,DreamHost Hosting","ServiceNow, Freshdesk, Zoho Desk, Intercom, HappyFox, Kayako, osTicket",,B2B Technology,Tier 2
TestOut Corp,6,39,,OneTrust,Manet Yazidi,,,5/4/2026,B2C,,https://www.linkedin.com/company/testout-corporation,,1328,"Cloudflare Hosting,Microsoft Azure,Amazon,Oracle Cloud,Rackspace,Edgio,Webflow Hosting,Amazon Virginia Region,Amazon Oregon Region,Cloudflare Network Error Logging,Akamai Hosted,Zoho Hosting,Amazon California Region",,"The description indicates that TestOut offers certification training aimed at helping individuals advance in their IT careers, which suggests a focus on consumers rather than businesses.",B2B Technology,Tier 2
IMCS Group,8,0,No compliance frameworks found,,Manet Yazidi,12,,4/30/2026,Both,,https://www.linkedin.com/company/imcsgroupofficial,FALSE,790,"Cloudflare Hosting,Google Cloud,Yahoo,Unified Layer,BlueHost,Digital Ocean,ATT","Zendesk, ServiceNow","The company operates in both B2B and B2C sectors, providing staffing solutions to enterprises (B2B) as well as clinical professionals to healthcare facilities (B2B) and possibly supporting healthcare services that impact consumers (B2C).",B2B Technology,Tier 2
Valorem Consulting Group,8,0,"Security Compass Framework, M365 Copilot Security Readiness, Zero Trust Security Foundation, Compliance Manager, Microsoft Priva",OneTrust,,3,28,4/8/2026,B2B,VALOREM,https://www.linkedin.com/company/valoremreply,TRUE,466,"Microsoft Azure,Cloudflare Hosting,GoDaddy,Cloudflare Network Error Logging","Zendesk, ServiceNow, Freshdesk, Jira Service Management","The company primarily offers digital transformation solutions and services aimed at other businesses, supporting them in areas such as IT modernization, data & AI, security, and product transformation. These offerings indicate it operates as a B2B firm.",B2B Technology,Tier 2
CAMS | Columbus Advanced Manufacturing Systems,0,0,"ISO 27001, SOC 2, PCI",no competitor tech found,Manet Yazidi,,,4/28/2026,B2B,Hawk Ridge Systems,,,1646,"Google Cloud,Google App Engine,Liquid Web","Freshdesk, Zoho Desk","Hawk Ridge Systems provides 3D software, hardware, and services primarily suited for manufacturers and businesses rather than individual consumers, indicating a B2B model.",B2B Technology,Tier 2
Davisware,0,0,,,Manet Yazidi,,,5/5/2026,B2B,,https://www.linkedin.com/company/davisware,TRUE,1666,"Google Cloud,Microsoft Azure,Cloudflare Hosting,Amazon,Comcast,Squarespace Hosted,WP Engine,Cloudflare Network Error Logging,Amazon Virginia Region",No answer,"The company provides field service management software specifically designed for commercial service companies, indicating that it primarily sells to other businesses rather than individual consumers.",B2B Technology,Tier 2
Teamworks Professional Services,0,0,"HIPAA, ACA, FMLA, ADA, EEOC, FLSA, OSHA",OneTrust,Manet Yazidi,0,0,4/28/2026,B2B,,https://www.linkedin.com/company/teamworks-group,,808,"Amazon,Google Cloud,Oracle Cloud,Cloudflare Hosting,GoDaddy,Amazon Virginia Region,Fastly Hosted,Fastly Load Balancer,Zoho Hosting","Zendesk, ServiceNow, Zoho Desk, Freshdesk, JIRA Service Management","The company's description suggests they provide HR and administrative support, targeting businesses that may be lacking in these areas. The focus on hiring a qualified candidate to improve efficiency and reduce costs indicates a service catered to other businesses rather than individual consumers.",B2B Technology,Tier 2
TechStar Group,8,0,"FedRAMP, DoD IL, CJIS, HIPAA",,Manet Yazidi,6,,4/28/2026,B2B,,https://www.linkedin.com/company/techstargroup,TRUE,545,"Amazon,AWS Global Accelerator,GoDaddy,Digital Ocean,Webflow Hosting,Amazon Oregon Region,Amazon Virginia Region","Zendesk, ServiceNow, Freshdesk, Help Scout, Zoho Desk, Jira Service Management, Bitrix24","The company focuses on cloud and digital transformation services for other businesses, indicating a B2B model as they support organizations in achieving their goals and driving innovation.",B2B Technology,Tier 2
Toyota Connected North America,8,0,,,,3,,3/31/2026,Both,Toyota Connected,,TRUE,413,"Cloudflare Hosting,Amazon,Amazon Virginia Region,Amazon Oregon Region",,The company description suggests that Toyota Connected provides products and services that cater to both consumers (individual drivers experiencing connected mobility) and businesses (automotive industry partners leveraging their technology). This dual focus indicates a B2B and B2C model.,B2B Technology,Tier 2
Saxon AI,8,0,"SOC2, ISO27001, HIPAA, GDPR",no competitor tech found,Manet Yazidi,18,,4/30/2026,B2B,,,TRUE,576,"Cloudflare Hosting,GoDaddy,Sucuri Hosting","Zoho Desk, Freshdesk, HaloITSM, HappyFox, Vivantio, Freshservice, InvGate Service Desk, Jira Service Management, ManageEngine ServiceDesk Plus, Spiceworks Cloud Help Desk, Zendesk for Service, Gorgias","The company provides data, AI, and automation services specifically targeting enterprises, indicating a focus on selling solutions to other businesses.",B2B Technology,Tier 2
KRISS.AI,0,0,,,Manet Yazidi,,,5/4/2026,Both,,,TRUE,1823,"Cloudflare Hosting,GoDaddy,Cloudflare Network Error Logging,Hostinger","Zendesk, ServiceNow, Zoho Desk, Freshdesk, HappyFox, Jira Service Management, SysAid, Manage Engine Service Desk Plus, Revelation Helpdesk",The company serves both patients (B2C) by providing information to consumers and dentists/staff (B2B) by offering clinical decision support and reducing staff workload.,B2B Technology,Tier 2
Sand Technologies,26,0,ISO 27001,no competitor tech found,Manet Yazidi,2,0,5/1/2026,B2B,,,true,486,"Cloudflare Hosting,Amazon,Google Cloud,eNom Hosting,WP Engine,Cloudflare Network Error Logging,Amazon Virginia Region,Webflow Hosting,Amazon Oregon Region","Zendesk, ServiceNow, Freshdesk","The company's focus on providing AI solutions to global enterprises and industries such as telecom, utilities, healthcare, and insurance indicates that it primarily operates in a B2B model.",B2B Technology,Tier 2
Mindfire Solutions,12,0,,no competitor tech found,,5,10,,B2B,,http://www.linkedin.com/company/mindfire-solutions,true,929,"Softlayer,Amazon,Cloudflare Hosting,SingleHop,Amazon Virginia Region,Amazon California Region,Cloudflare Network Error Logging","{""Zendesk"": ""https://www.zendesk.com/"", ""ServiceNow"": ""https://www.servicenow.com/"", ""Freshservice"": ""https://www.freshworks.com/freshservice/"", ""Zoho Desk"": ""https://www.zoho.com/desk/"", ""HappyFox"": ""https://www.happyfox.com/"", ""SysAid"": ""https://www.sysaid.com/"", ""JitBit"": ""https://www.jitbit.com/"", ""osTicket"": ""https://osticket.com/"", ""Kayako"": ""https://kayako.com/"", ""Help Scout"": ""https://www.helpscout.com/""}","Mindfire Solutions primarily provides customized technological and digital solutions to other businesses, indicated by their extensive clientele and partnerships with major corporations. This focus on serving other companies categorizes them as a B2B company.",B2B Technology,Tier 2
Rainbow International,19,71,,no competitor tech found,Manet Yazidi,37,0,4/27/2026,Both,Neighborly,,,1418,"Amazon,Cloudflare Hosting,Pantheon,Hostway,Network Solutions,Amazon Virginia Region,Rackspace,Fastly Hosted,Fastly Load Balancer,Amazon California Region,Mediacom Communications,ATT",,"The company provides restoration services to both residential consumers (B2C) and commercial businesses (B2B), indicating a dual-focus business model.",Industrial/Manufacturing,Tier 1
Vanguard Fire & Security,14,50,"TJC, HFAP, NFPA, CMS, DNV",no competitor tech found,,3,0,,B2B,,,,1593,"Amazon,Google Cloud,Cloudflare Hosting,Colo4,Cyberverse,Evocative,WP Engine,Cloudflare Network Error Logging,Linode","Zendesk, ServiceNow","Vanguard Fire & Security Systems primarily serves commercial and industrial businesses, as well as specific institutional clients such as hospitals and assisted living centers, indicating a focus on business-to-business services.",Industrial/Manufacturing,Tier 1
Mark Andy Inc.,18,68,"UL 969, BS 5609, HD Flexo, FSSC 22000, IFS, BRC, Imprim Vert",,Manet Yazidi,7,,5/8/2026,B2B,,,TRUE,457,"ServerCental,Web HostingPad,Network Solutions,Defense Net,Involta","Comodo IT Help Desk, Comodo Service Desk","The company primarily manufactures and supplies printing equipment and consumables to other businesses in the printing industry, indicating a B2B model.",Industrial/Manufacturing,Tier 2
Quanta Infrastructure Solutions Group,17,64,,no competitor tech found,,106,0,,B2B,,http://www.linkedin.com/company/qisg,,478,"Google Cloud,Cloudflare Hosting,WP Engine","The following companies offer cloud hosting services related to helpdesk software:
1. **Zendesk**: Offers a comprehensive AI-powered helpdesk solution with ticketing, messaging, and live chat features. More details can be found on their [official site](https://zendesk.com/service).
2. **ServiceNow**: Provides IT Service Management through a cloud-based platform. More information can be accessed [here](https://servicenow.com/docs/csh?topicname=r_ITServiceManagement.html&version=latest).
3. **Atlassian (Jira Service Management)**: Offers helpdesk software functionalities through their service management product. Check their offerings on the [official Jira site](https://atlassian.com/software/jira/service-management).
4. **Freshworks**: Provides IT Service Management and customer service solutions. More can be discovered on their [website](https://freshworks.com).
5. **SolarWinds**: Offers solutions related to IT service management and helpdesk software. Additional details can be found on their [site](https://solarwinds.com/itsm).","The company provides engineering, procurement, and construction services primarily to other businesses and organizations involved in infrastructure projects, indicating a B2B model.",Industrial/Manufacturing,Tier 2
True Manufacturing,26,61,"EU-US Privacy Shield, California Transparency in Supply Chains Act",,Manet Yazidi,2,,5/3/2026,,,,,1128,"Microsoft Azure,Cloudflare Hosting,Amazon,Oracle Cloud,Google Cloud,Charter Communications,WP Engine,Cloudflare Network Error Logging,Amazon Oregon Region,Verizon,Zoho Hosting","Zendesk, ServiceNow, Freshservice",,Industrial/Manufacturing,Tier 2
"Hytrol Conveyor Company, Inc.",9,58,,no competitor tech found,Manet Yazidi,,,5/8/2026,B2B,,,,712,"Amazon,Cloudflare Hosting,Google Cloud,Enterhost,Cloud Access,Amazon Virginia Region,Sucuri Hosting,Amazon Oregon Region,Akamai Hosted,nLayer Communications,Automattic,Cloudflare Network Error Logging,ATT",HubSpot,"The company designs and manufactures conveyor systems and solutions specifically for processing, manufacturing, warehousing, and distribution needs, indicating a focus on business customers rather than individual consumers.",Industrial/Manufacturing,Tier 2
Red Gold,9,57,,,Manet Yazidi,,,5/8/2026,Both,,,,825,"The Small Business Authority,Microsoft Azure,Newtek,Incapsula,Imperva","Zendesk, Freshdesk, Zoho Desk, Gorgias, HappyFox, ServiceNow, Freshservice, SysAid, Jira Service Management, ManageEngine ServiceDesk Plus, HaloITSM, Spiceworks",The company produces tomato products for both B2B segments (such as foodservice and private brands) and B2C segments (through its consumer brands).,Industrial/Manufacturing,Tier 2
Incora,16,56,"ISO 14001:2015, AS9100, AS9120, ASA-100, FAA AC 00-56B, RMI CMRT 6.31",no competitor tech found,Manet Yazidi,30,,5/5/2026,B2B,,https://www.linkedin.com/company/incoraglobal,,1718,"Microsoft Azure,Cloudflare Hosting,Digital Ocean,Charter Communications,Cloudflare Network Error Logging,Akamai Hosted","Zendesk, ServiceNow, Freshdesk, Zoho Desk, HappyFox, Jira Service Management","The company provides supply chain solutions primarily for other businesses in sectors like aerospace, industrial manufacturing, and pharmaceuticals, indicating a focus on B2B operations.",Industrial/Manufacturing,Tier 2
Vinmar International,24,55,Bureau Veritas Certification ISO 9001:2015,no competitor tech found,Manet Yazidi,1,0,5/3/2026,B2B,,,,1000,"Cloudflare Hosting,Google Cloud,GoDaddy,Sucuri Hosting,Unified Layer,Cloudflare Network Error Logging,Data Foundry,Level 3 Communications,Switch Hosted",,"The company primarily sells marketing, distribution, and project development services to other businesses in the plastics and chemicals industry, indicating a B2B model.",Industrial/Manufacturing,Tier 2
PPI,16,54,"ISO 9001, ISO 27001, EcoVadis silver medal, Diversity Charter",no competitor tech found,Manet Yazidi,2,0,5/1/2026,B2B,,,,500,"LightEdge Solutions,Amazon,Cloudflare Hosting,GoDaddy,Iowa State University,Amazon Virginia Region,Fastly Hosted,Fastly Load Balancer,Digital Ocean","Freshservice, Zendesk, ServiceNow, Freshdesk, Jira Service Management, Zoho Desk","The company specializes in providing conveyor components which are primarily aimed at serving other businesses. The description emphasizes their commitment to customer service and business profitability, indicating they focus on B2B relationships.",Industrial/Manufacturing,Tier 2
Alliance Laundry Systems,22,53,"ISO9001:2000, ADA",OneTrust,Manet Yazidi,10,,5/6/2026,Both,,,,1966,"Rackspace Cloud Servers,Amazon,Cloudflare Hosting,Google Cloud,Rackspace,Amazon Virginia Region,Sucuri Hosting,Charter Communications,Linode,Akamai Hosted","Zendesk,","Alliance Laundry Systems sells to both businesses (such as hotels and laundromat owners) and consumers (families needing washers and dryers), indicating a B2B and B2C model.",Industrial/Manufacturing,Tier 2
"CRB Group, Inc",15,53,,,,33,,11/23/2024,B2B,,,TRUE,1770,"SingleHop,Google Cloud,Cloudflare Hosting,Endurance International,Bizland,Cloudflare Network Error Logging,ATT,Level 3 Communications","Zendesk, ServiceNow, Freshdesk, Zoho Desk","CRB provides engineering, architecture, construction, and consulting solutions specifically to the life sciences and food & beverage industries, indicating it serves other businesses rather than individual consumers.",Industrial/Manufacturing,Tier 2
Quanex Building Products,19,43,"United States Foreign Corrupt Practices Act, UK Bribery Act 2010, Applicable laws and regulations regarding the sourcing of conflict minerals, International trade law and applicable trade sanctions",,,10,,3/6/2026,B2B,,,,1234,"Internap,Microsoft Azure,Peak 10,Cloudflare Hosting,Amazon,ViaWest,Digital Ocean,Amazon Virginia Region,Flexential,Time Warner,Akamai Hosted,Charter Communications,CenturyLink,Level 3 Communications","Freshservice, Zendesk, ServiceNow","The company primarily serves OEMs (Original Equipment Manufacturers) in various markets, indicating that it operates by selling its products to other businesses rather than directly to consumers.",Industrial/Manufacturing,Tier 2
Winnebago Industries,18,41,"Global Reporting Initiative, Climate Disclosure Project, United Nations Sustainable Development Goals, Sustainability Accounting Standards Board, Task Force on Climate-Related Financial Disclosures, UN Global Compact",,Manet Yazidi,3,,5/5/2026,,,https://www.linkedin.com/company/winnebago-industries,TRUE,1655,"Cogeco Peer 1,Cloudflare Hosting,Web.com Hosting,Fastly Hosted,Fastly Load Balancer,CenturyLink,Akamai Hosted","Zendesk, ServiceNow",,Industrial/Manufacturing,Tier 2
VoltaGrid,8,0,"ISO 45001, DOT excellence standards, ISNetworld, Avetta, Veriforce",,Manet Yazidi,9,,5/8/2026,DNF,,https://www.linkedin.com/company/voltagrid,TRUE,447,"Amazon,Google Cloud,Cloudflare Hosting,Render,Nexcess,Liquid Web,Amazon Virginia Region","Amazon, Microsoft Exchange Online, Office 365, Nexcess, HubSpot",The description does not provide enough information about whether VoltaGrid sells directly to consumers or other businesses.,Industrial/Manufacturing,Tier 2
CECO Environmental,8,0,"ISO 14001, ISO 45001, ISO 9001",,,21,,3/4/2026,B2B,,,FALSE,768,"INETu,Cloudflare Hosting,Microsoft Azure,Time Warner,Media Temple,Network Solutions,Akamai Hosted,Defense Net,WP Engine,Cloudflare Network Error Logging",Zendesk,"CECO Environmental primarily provides solutions and services to industries such as oil and gas, power generation, and chemical processing, indicating a focus on business clients rather than direct consumer sales.",Industrial/Manufacturing,Tier 2
Imagine Print Solutions,8,0,"SGP certification, ISO 9001, ISO 27001, HIPAA-HITECH, PCI-DSS, SOC2",,Manet Yazidi,16,,5/8/2026,Both,,http://www.linkedin.com/company/imagine-print-solutions_,TRUE,1114,"Amazon,Google Cloud,Cloudflare Hosting,Microsoft Azure,Confluence Networks,Amazon Virginia Region,WP Engine,Digital Ocean,ipHouse,ATT,Cloudflare Network Error Logging,Flexential,CenturyLink","ServiceNow, Freshdesk, Zoho Desk, Jira Service Management",The company offers visual communication services which cater to both businesses (B2B) looking for branding solutions and consumers (B2C) who appreciate stunning visual designs. This dual approach indicates that they operate in both markets.,Industrial/Manufacturing,Tier 2
Ascential Technologies,0,0,"ISO 9001, ISO 14001, ISO 13485, FDA Registered, 21 CFR 210/211 Compliant, 21 CFR 820 Compliant, 21 CFR Part 4 Compliant, 21 CFR Part 11 Compliant, EU IVDR 2017/746, EU MDR 2017/746, MDSAP, GAMP, GDPR, ICH",no competitor tech found,Manet Yazidi,0,0,5/8/2026,B2B,,,true,892,"Gandi,Cloudflare Hosting,Microsoft Azure,Cloudflare Network Error Logging,WP Engine,Linode",,"The company specializes in providing services and solutions to other businesses, particularly in complex diagnostics, inspection, and testing processes for industrial and medical applications. The mention of clients being Fortune 100 companies further supports the B2B classification.",Industrial/Manufacturing,Tier 2
Klein Tools,17,35,"CE, UKCA",OneTrust,Manet Yazidi,56,,5/3/2026,,,,FALSE,1171,"Pantheon,AWS Global Accelerator,Amazon,Oracle Cloud,Microsoft Azure,ATT,Fastly Hosted,Fastly Load Balancer,Amazon Virginia Region,A2 Hosting,Amazon Ohio Region","Agiloft, FreshService, Zendesk",,B2C,Tier 1
Milwaukee Bucks Inc.,18,70,"CMMC, HIPAA, SOC 2, ISO 27001, NIST Frameworks, GDPR, CCPA/CPRA, Privacy Shield Framework",OneTrust,Manet Yazidi,4,,5/1/2026,B2C,,,,724,"Amazon,AWS Global Accelerator,Netlify,Google Cloud,Microsoft Azure,Cloudflare Hosting,Turner Broadcasting,Amazon California Region,Amazon Virginia Region,Akamai Hosted,Digital Ocean,GoDaddy,Level 3 Communications,Incapsula,Amazon Oregon Region,Cloudflare Network Error Logging",,"The description highlights the Milwaukee Bucks as an NBA team, indicating a focus on engaging with fans and consumers rather than other businesses. The emphasis on community involvement and creating an arena for fans supports the B2C classification.",B2C,Tier 2
E.A. Sween,16,59,,,Manet Yazidi,5,,5/8/2026,Both,,,TRUE,484,"Amazon,Google Cloud,Cloudflare Hosting,Oracle Cloud,Amazon Virginia Region,WP Engine,Sucuri Hosting,Cloudflare Network Error Logging,Akamai Hosted,Verizon,Level 3 Communications,Zoho Hosting,Fastly Hosted,Fastly Load Balancer",HappyFox,"E.A. Sween supplies ready-to-eat sandwiches to both wholesale and retail partners (B2B), while also appealing directly to consumers with various product offerings (B2C). This indicates that the company operates in both business models.",B2C,Tier 2
Blue Bell Creameries,15,53,"BRCGS, GFSI, FSMA, ISO 9001",,Manet Yazidi,1,,5/8/2026,,,,,1212,"Google Cloud,Cloudflare Hosting,Amazon,WP Engine,Digital Ocean,Black Lotus,Liquid Web,Rackspace,Amazon Virginia Region",Zendesk,,B2C,Tier 2
